record,detector,rep,runtime_s,duration_s,ms_per_min_ecg,realtime_factor,samples_per_s,n_samples,n_detections,runtime_boundary
108,Embedded Pan-Tompkins firmware replay,3,0.3238657061010599,1805.556,10.762303892021956,0.00017937173153369926,1393753.6191595024,451389,2110,controlled offline execution time of the firmware-equivalent implementation
108,Embedded Pan-Tompkins firmware replay,4,0.32611322309821844,1805.556,10.836990592312343,0.0001806165098718724,1384148.1057149626,451389,2110,controlled offline execution time of the firmware-equivalent implementation
108,Embedded Pan-Tompkins firmware replay,5,0.32111775199882686,1805.556,10.670987285871837,0.00017784978809786396,1405680.6177493702,451389,2110,controlled offline execution time of the firmware-equivalent implementation
108,Embedded Pan-Tompkins firmware replay,6,0.3214797009713948,1805.556,10.683015125691856,0.0001780502520948643,1404097.9839040118,451389,2110,controlled offline execution time of the firmware-equivalent implementation
108,Embedded Pan-Tompkins firmware replay,7,0.3242321021389216,1805.556,10.774479511206131,0.0001795746585201022,1392178.6184102038,451389,2110,controlled offline execution time of the firmware-equivalent implementation
109,Embedded Pan-Tompkins firmware replay,1,0.3094402689021081,1805.556,10.282935635408974,0.00017138226059014956,1458727.4035196682,451389,2527,controlled offline execution time of the firmware-equivalent implementation
109,Embedded Pan-Tompkins firmware replay,2,0.3095564760733396,1805.556,10.286797288148566,0.0001714466214691428,1458179.7988069153,451389,2527,controlled offline execution time of the firmware-equivalent implementation
109,Embedded Pan-Tompkins firmware replay,3,0.31073055998422205,1805.556,10.325812990044797,0.00017209688316741328,1452670.1204507216,451389,2527,controlled offline execution time of the firmware-equivalent implementation
109,Embedded Pan-Tompkins firmware replay,4,0.31145523907616735,1805.556,10.349894627787807,0.00017249824379646345,1449290.117382201,451389,2527,controlled offline execution time of the firmware-equivalent implementation
109,Embedded Pan-Tompkins firmware replay,5,0.31878805183805525,1805.556,10.593569576509017,0.00017655949294181694,1415953.3188191953,451389,2527,controlled offline execution time of the firmware-equivalent implementation
109,Embedded Pan-Tompkins firmware replay,6,0.3142847300041467,1805.556,10.443920764711148,0.00017406534607851914,1436242.225303292,451389,2527,controlled offline execution time of the firmware-equivalent implementation
109,Embedded Pan-Tompkins firmware replay,7,0.3118464939761907,1805.556,10.362896325880472,0.00017271493876467453,1447471.780889938,451389,2527,controlled offline execution time of the firmware-equivalent implementation
111,Embedded Pan-Tompkins firmware replay,1,0.313630994874984,1805.556,10.422196648843371,0.00017370327748072285,1439235.9408862873,451389,2123,controlled offline execution time of the firmware-equivalent implementation
111,Embedded Pan-Tompkins firmware replay,2,0.31340519106015563,1805.556,10.414693016228428,0.00017357821693714048,1440272.889141008,451389,2123,controlled offline execution time of the firmware-equivalent implementation
111,Embedded Pan-Tompkins firmware replay,3,0.31226923991926014,1805.556,10.376944495299846,0.0001729490749216641,1445512.2128478312,451389,2123,controlled offline execution time of the firmware-equivalent implementation
111,Embedded Pan-Tompkins firmware replay,4,0.3117874579038471,1805.556,10.360934512267038,0.0001726822418711173,1447745.8555732057,451389,2123,controlled offline execution time of the firmware-equivalent implementation
111,Embedded Pan-Tompkins firmware replay,5,0.3130728448741138,1805.556,10.403648899533898,0.00017339414832556497,1441801.82788291,451389,2123,controlled offline execution time of the firmware-equivalent implementation
111,Embedded Pan-Tompkins firmware replay,6,0.3092444781213999,1805.556,10.276429358759293,0.0001712738226459882,1459650.962054684,451389,2123,controlled offline execution time of the firmware-equivalent implementation
