record,detector,channel,reference_beat_count,detected_count,TP,FP,FN,sensitivity,ppv,f1,fp_per_hour,fn_per_hour,median_timing_error_ms,iqr_timing_error_ms,p95_timing_error_ms
230,Firmware replay Pan-Tompkins port,MLII,2256,2255,2255,0,1,0.9995567375886525,1.0,0.9997783196630459,0.0,1.9938461538461538,91.2222222220862,8.777777777822848,125.36666666661628
231,Firmware replay Pan-Tompkins port,MLII,1571,1570,1570,0,1,0.9993634627625716,1.0,0.9996816300541229,0.0,1.9938461538461538,94.05555555557044,54.77777777785775,125.94999999998322
232,Firmware replay Pan-Tompkins port,MLII,1780,1693,1685,8,95,0.9466292134831461,0.9952746603662138,0.9703426432479124,15.95076923076923,189.41538461538462,111.6666666666788,87.66666666679157,135.3333333333694
233,Firmware replay Pan-Tompkins port,MLII,3079,3073,3070,3,9,0.9970769730431959,0.9990237552879921,0.9980494148244473,5.981538461538461,17.944615384615386,47.33333333331302,4.444444444423823,98.73888888891989
234,Firmware replay Pan-Tompkins port,MLII,2753,2751,2751,0,2,0.9992735197965855,1.0,0.9996366279069768,0.0,3.9876923076923076,43.22222222219807,3.1111111109112244,46.77777777783376
100,Hamilton,MLII,2273,2272,2272,0,1,0.9995600527936648,1.0,0.9997799779977998,0.0,1.9938461538461538,59.55555555556202,29.666666666798847,62.888888888892325
101,Hamilton,MLII,1865,1868,1864,4,1,0.9994638069705094,0.9978586723768736,0.9986605946959549,7.975384615384615,1.9938461538461538,61.222222222227174,2.777777777623669,63.88888888888893
102,Hamilton,V5,2187,2187,2187,0,0,1.0,1.0,1.0,0.0,0.0,52.666666666709716,19.11111111110131,61.11111111113132
103,Hamilton,MLII,2084,2081,2080,1,4,0.9980806142034548,0.9995194617972128,0.9987995198079231,1.9938461538461538,7.975384615384615,61.2222222222254,2.2222222222580967,63.88888888886868
104,Hamilton,V5,2229,2240,2214,26,15,0.9932705248990579,0.9883928571428572,0.9908256880733946,51.839999999999996,29.907692307692308,56.555555555632964,26.55555555548972,68.70555555555596
105,Hamilton,MLII,2572,2594,2556,38,16,0.9937791601866252,0.9853508095605242,0.9895470383275261,75.76615384615384,31.90153846153846,56.33333333332757,24.777777777899246,68.77777777777828
106,Hamilton,MLII,2027,1989,1982,7,45,0.9777997039960533,0.9964806435394671,0.9870517928286853,13.956923076923077,89.72307692307692,35.222222222245136,30.611111111056744,80.66666666672972
107,Hamilton,MLII,2137,2125,2125,0,12,0.9943846513804399,1.0,0.9971844204598779,0.0,23.926153846153845,46.666666666666856,3.3333333334439885,52.222222222098935
108,Hamilton,MLII,1763,2083,1221,862,542,0.6925694838343732,0.586173787806049,0.6349453978159127,1718.6953846153847,1080.6646153846154,116.88888888886595,40.3333333332796,147.55555555552746
109,Hamilton,MLII,2532,2527,2527,0,5,0.9980252764612955,1.0,0.9990116623838704,0.0,9.96923076923077,36.55555555555168,2.5555555553182785,39.8888888889644
111,Hamilton,MLII,2124,2125,2123,2,1,0.9995291902071564,0.9990588235294118,0.9992939515180043,3.9876923076923076,1.9938461538461538,31.77777777796109,5.222222222286632,66.54444444444215
112,Hamilton,MLII,2539,2539,2539,0,0,1.0,1.0,1.0,0.0,0.0,65.00000000005457,2.5555555555509812,67.66666666658239
113,Hamilton,MLII,1795,1795,1793,2,2,0.9988857938718663,0.9988857938718663,0.9988857938718663,3.9876923076923076,3.9876923076923076,62.88888888866495,2.444444444478222,65.22222222224627
114,Hamilton,MLII,1879,1880,1878,2,1,0.9994678020223523,0.9989361702127659,0.9992019154030326,3.9876923076923076,1.9938461538461538,37.944444444406145,39.66666666656238,80.66666666672972
115,Hamilton,MLII,1953,2011,1934,77,19,0.9902713773681515,0.9617105917454003,0.9757820383451059,153.52615384615385,37.88307692307692,63.666666666676974,2.4444444443361135,67.00000000000728
116,Hamilton,MLII,2412,2390,2385,5,27,0.9888059701492538,0.997907949790795,0.9933361099541858,9.96923076923077,53.83384615384615,62.888888888892325,2.777777777737356,66.00000000003092
117,Hamilton,MLII,1535,1561,1491,70,44,0.9713355048859935,0.9551569506726457,0.9631782945736435,139.56923076923076,87.72923076923077,49.55555555557112,94.66666666662604,145.99999999997237
118,Hamilton,MLII,2278,2278,2278,0,0,1.0,1.0,1.0,0.0,0.0,83.55555555556293,10.41666666660035,86.90555555565426
119,Hamilton,MLII,1987,1988,1987,1,0,1.0,0.9994969818913481,0.999748427672956,1.9938461538461538,0.0,60.333333333232986,27.333333333217524,63.77777777788651
121,Hamilton,MLII,1863,1865,1860,5,3,0.998389694041868,0.9973190348525469,0.9978540772532188,9.96923076923077,5.981538461538461,38.444444444479586,34.305555555647516,80.11111111110836
122,Hamilton,MLII,2476,2476,2476,0,0,1.0,1.0,1.0,0.0,0.0,51.11111111114042,22.333333333449445,78.77777777775918
123,Hamilton,MLII,1518,1518,1510,8,8,0.994729907773386,0.994729907773386,0.994729907773386,15.95076923076923,15.95076923076923,63.88888888886868,2.22222222214441,66.28333333326282
124,Hamilton,MLII,1619,1609,1608,1,11,0.9932056825200741,0.9993784959602238,0.9962825278810409,1.9938461538461538,21.932307692307692,36.00000000005821,2.777777777623669,77.99999999997453
